salutations	salutoj
hello!	saluton!
welcome!	bonvenon!
good  morning!	bonan  matenon!
good  evening!	bonan  vesperon!
goodbye!	ĝis  la revido!
everyday expressions	ĉiutagaj esprimoj
yes.	jes.
no.	ne.
ok	bone.
really?	ĉu?
please.	bonvole.
thank  you.	dankon.
thank  you very much.	multan  dankon.
you're  welcome.	ne  dankinde.
i  don't know.	mi  ne scias.
i  think so.	mi  pensas ke jes.
i  don't think so.	mi  pensas ke ne.
what  do you think?	kion  vi pensas?
why  not?	kial  ne?
are  you sure?	ĉu  vi certas?
its  fine.	ĝi  estas bona.
certainly.	certe.
maybe.	eble.
of  course.	kompreneble.
is  it possible?	ĉu  vere?
i'm  very grateful.	mi  estas ege dankema.
it  doesn't matter.	ne  gravas.
good  luck!	bonan  ŝancon!
be  careful.	estu  singarda.
look  at this!	vidu  ĉi tion!
listen  to this!	aŭskultu  ĉi tion!
come  here!	venu!
come  with me!	venu  kun mi!
what  is that?	kio  estas tio?
what  is this?	kio  estas tio ĉi?
what  are you doing?	kion  vi faras?
how  do you say that in esperanto?	kiel  oni diras tion en esperanto?
what's  it like?	kia  ĝi estas?
do  you like it?	ĉu  vi ŝatas ĝin?
it  is beautiful. delicious  wonderful  interesting  exciting	ĝi  estas bela.  bongusta  bonega  interesa  ekscita
where  is the bathroom?	kie  estas la necesejo?
introductions	interkonatiĝoj
my  name is karlo.	mi  nomiĝas karlo.
what  is your name?	kiel  vi nomiĝas?
what  is his name?	kiel  li nomiĝas?
what  is her name?	kiel  ŝi nomiĝas?
pleased  to meet you.	estas  plezuro renkonti vin.
i've  heard much about you.	mi  aŭdis multon pri vi.
how  are you?	kiel  vi fartas?
fine,  thanks, and you?	bone,  kaj vi?
how  are things?	kiel  fartas aferoj?
here  is my card.	jen  mia karto.
where  are you from?	de  kie vi estas?
i  am from the u.s.a. britain  england  scotland  wales  canada  australia  ireland  new  zealand	mi  estas de usono.  britio  anglio  skotio  kimrio  kanado  aŭstralio  irlando  nov-zelando
where  do you live?	kie  vi loĝas?
i  live in chicago.	mi  loĝas en ĉikago.
do  you speak esperanto? english?	ĉu  vi parolas esperanton? la anglan?
yes,  a little.	jes,  iomete.
please  speak slowly.	bonvolu  paroli malrapide.
do  you understand?	ĉu  vi komprenas?
i  don't understand.	mi  ne komprenas.
please  repeat.	ripetu,  bonvole.
excuse  me.	pardonu.
are  you mrs. king?	ĉu  vi estas sinjorino king?
let  me introduce mr. king.  my  colleague my  colleagues my  friend my  friends	mi  prezentu sinjoron king. mian kolegon  miajn kolegojn  mian amikon  miajn amikojn
i  am here on business as  a tourist to  study	mi  estas ĉi tie por komerco.  turisme  por studi
where  are you staying?	kie  vi gastas?
i  am at the green hotel.	mi  gastas ĉe la verda hotelo.
have  you been in germany before?	ĉu  vi iam antaŭe estis en germanio?
this  is my first visit to italy.	jen  mia unua vizito en italio.
are  you married?	ĉu  vi estas edziĝinta?
how  is your wife? husband  mother  father  daughter  son  sister  brother	kiel fartas via edzino?  edzo  patrino  patro  filino  filo  fratino  frato
best  wishes to your family!	ĉion  bonan al via familio!
would  you like to come to my house on saturday?	ĉu  vi ŝatus veni al mia domo ĉi-sabate?
would  you like to come for lunch?  dinner tea	ĉu  vi volas veni por tagmanĝi?  vespermanĝi  teumi
where  are you going?	kien  vi iras?
i'm  going to work.  shopping	mi  iras al laborejo.  butikumi
could  i come with?	ĉu  mi povas iri kun vi?
are  you ready?	ĉu  vi pretas?
were  in a hurry.	ni  devas rapidumi.
is  stefano home?	ĉu  stefano ĉe-hejmas?
she's  not here.	ŝi  ne estas ĉi tie.
he's  not here.	li  ne estas ĉi tie.
when  will he be back?	kiam  li revenos?
when  will she be back?	kiam  ŝi revenos?
who  is it?	kiu  estas?
come  in.	envenu.
have  a seat.	bonvolu  sidiĝi.
make  yourself at home.	sentigu  vin hejme.
would  you like something to eat drink?	ĉu  vi volas ion por manĝi?  trinki
do  you smoke?	ĉu  vi fumas?
i  don't smoke.	mi  ne fumas.
could  you please not smoke?	bonvolu  ne fumi, mi petas.
thank  you for your hospitality.	dankon  pro via gastamo.
please  come again.	bonvolu  reveni!
stay  in touch.	restu  en kontakto.
inquiries on the street	enketoj
where  is the park? u.s.  embassy	kie  estas la parko?  ambasadorejo usona?
which  way to the temple?  church  mosque	kiel  atingi la templon?  preĝejon  moskeon
what  is the name of this street?	kiel  nomiĝas tiu ĉi strato?
how  far away is the eiffel tower?	kiom  longe for estas la ejfel-turo?
which  way is north? south  east  west	kiu  vojo iras norden?  suden  orienten  okcidenten
i'm  lost.	mi  perdiĝis.
where  am i?	kie  mi estas?
please  write it down.	bonvolu  skribi ĝin.
turn  right.	turnu  dekstren.
turn  left.	turnu  maldekstren.
go  straight.	iru antaŭen.
go  back.	iru  malantaŭen.
numbers	numeroj
zero	nulo
one	unu
two	du
three	tri
four	kvar
five	kvin
six	ses
seven	sep
eight	ok
nine	naŭ
ten	dek
eleven	dek  unu
twelve	dek  du
thirteen	dek  tri
fourteen	dek  kvar
fifteen	dek  kvin
sixteen	dek  ses
seventeen	dek  sep
eighteen	dek  ok
nineteen	dek  naŭ
twenty	du  dek
twenty-one	du  dek unu
twenty-two	du  dek du
thirty	tri  dek
forty	kvar  dek
fifty	kvin  dek
sixty	ses  dek
seventy	sep  dek
eighty	ok  dek
ninety	naŭ  dek
one  hundred	cent
two  hundred	du  cent
one  thousand	mil
two  thousand	du  mil
one  million	miliono
two  million	du  milionoj
once	unufoje
twice	dufoje
ten  percent	dek  procente
how  old are you?	kiom  vi aĝas?
i  am 28.	mi  aĝas du dek ok jarojn.
time	la horo
a  second	sekundo
a  minute	minuto
an  hour	horo
three  hours	tri  horoj
what  time is it?	kioma  estas (la horo)?
it  is two oclock.	estas  la dua.
it's  ten to five.	estas  dek antaŭ la kvina.
it's  quarter past nine.	estas  kvarono antaŭ la naŭa.
it's  half past one.	estas  la unua kaj duono.
it's  midnight.	estas  noktomezo.
it's  noon.	estas  tagmezo.
it's  early.	estas  frue.
it's  late.	estas  malfrue.
shall  we meet tomorrow at noon? at  ten in  the afternoon this  evening	ĉu  ni renkontu morgaŭ je tagmezo?  je la deka  posttagmeze  ĉi-vespere
days of the week	tagoj de l semajno
monday	lundo
tuesday	mardo
wednesday	merkredo
thursday	ĵaŭdo
friday	vendredo
saturday	sabato
sunday	dimanĉo
everyday	ĉiutage
i  leave today.  tomorrow  the  day after tomorrow next week	mi  foriros hodiaŭ.  morgaŭ  postmorgaŭ  venont-semajne
i  arrived yesterday. the  day before yesterday  last  week the  other day	mi  alvenis hieraŭ.  antaŭhieraŭ  pasint-semajne  antaŭ kelkaj tagoj
months of the year	monatoj de l jaro
january	januaro
february	februaro
march	marto
april	aprilo
may	majo
june	junio
july	julio
august	aŭgusto
september	septembro
october	oktobro
november	novembro
december	decembro
what  day is it today?	kiu  tago estas hodiaŭ?
what  is today's date?	kio  estas la dato?
it  is the third of may.	estas  la tria de majo.
this  year	ĉi-jare
next  year	venont-jare
last  year	pasint-jare
this  month	ĉi-monate
next  month	venont-monate
last  month	pasint-monate
it's  spring. summer  autumn  winter	estas  printempo.  somero  aŭtuno  vintro
weather	vetero
how  is the weather?	kia  estas la vetero?
its  hot today. sunny  cold  windy	estas  varme hodiaŭ  sune  malvarme  vente
how  will the weather be tomorrow?	kia  estos la vetero morgaŭ?
tomorrow  it will be cloudy. cool	morgaŭ  estos nube.  milde
it's  raining.	pluvas.
it's  snowing.	neĝas.
it's  drizzling.	pluvetas.
colors	koloroj
what  color is it?	kiakolora  ĝi estas?
it's  black. blue  brown  gray  green  pink  purple  red  white  yellow	ĝi  estas nigra.  blua  bruna  griza  verda  roza  purpura  ruĝa  blanka  flava
i  like this color.	mi  ŝatas tiun koloron.
at a hotel or house	ĉe  hotelo aŭ domo
i  would like to reserve a room	mi volas rezervi ĉambron.
i  have a reservation.	mi rezervis ĉambron.
do  you have a double room? single	ĉu vi havas dulitan ĉambron?  unulitan
do  you have a room with a bath?	ĉu vi havas ĉambron kun banejo?
does  the room have a shower? air  conditioning twin  beds	ĉu la ĉambro havas duŝejon? klimatizilon  unulokajn litojn
what  is the rate per day?	kiom estas la portaga kosto?
is  dinner included?	ĉu vespermanĝo estas inkludita?
i  will be staying for two nights.	mi gastos du noktojn.
do  you have a better room? cheaper  larger  smaller  quiter	ĉu vi havas pli bonan ĉambron?  malpli kostan  pli grandan  malpli grandan  pli trankvilan
please  wake me at 6 a.m.	bonvolu vekigi mi je la sesa antaŭtagmeze.
could  i have the key please?	donu la ŝlosilon, mi petas.
on  what floor is my room?	sur kioma etaĝo estas mia ĉambro?
take  the elevator.	iru per lifto.
go  up the stairs. down	iru supren per ŝtuparo.  malsupren
there  is no hot water.	mankas varma akvo.
